ID,class,CISP,area_cisp,regiao,hom_doloso,lesao_corp_morte,latrocinio,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,encontro_cadaver,encontro_ossada,roubo_comercio,roubo_residencia,roubo_veiculo,roubo_carga,roubo_transeunte,roubo_em_coletivo,roubo_banco,roubo_cx_eletronico,roubo_celular,roubo_conducao_saque,roubo_bicicleta,outros_roubos,furto_veiculos,furto_bicicleta,outros_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,cump_mandado_prisao,ameaca,pessoas_desaparecidas,hom_por_interv_policial,armas_apreendidas,pol_militares_mortos_serv,pol_civis_mortos_serv,indicador_letalidade
8505,Ano Comum,110,7706,3,0,0,0,0,49,4,5,29,1,0,2,1,3,0,4,0,0,0,1,0,0,0,13,0,80,0,2,0,20,20,7,67,4,0,0,0,0,0
8506,Ano Comum,111,3955,3,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,7,0,0,2,0,0,0
8507,Ano Comum,112,3219,3,1,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,1,2,8,0,0,0,0,0,1
8508,Ano Comum,118,638,3,0,0,0,1,32,3,1,38,0,0,2,0,4,0,6,1,0,0,1,0,0,5,4,0,47,0,0,0,12,6,5,23,3,2,4,0,0,2
8509,Ano Comum,119,4565,3,1,0,0,0,24,0,2,15,0,0,0,1,1,0,2,1,0,0,1,1,0,2,6,0,17,0,1,0,3,3,2,14,2,0,3,0,0,1
8510,Ano Comum,120,9375,3,0,0,0,1,6,1,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,2,7,0,0,0,0,0,0
8511,Ano Comum,121,4608,3,0,0,0,1,17,0,1,24,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,16,0,0,0,4,0,0,13,1,0,0,0,0,0
8512,Ano Comum,122,3473,3,0,0,0,0,7,1,0,10,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7,0,16,0,0,3,0,0,0
8513,Ano Comum,123,12168,3,9,0,1,7,68,4,8,58,2,0,3,2,22,7,55,11,0,0,2,0,0,10,61,0,271,0,2,0,17,24,8,83,7,2,9,0,0,12
8514,Ano Comum,124,3536,3,6,0,0,4,34,3,0,32,0,0,1,1,2,0,3,0,0,0,0,0,0,2,7,0,46,0,0,0,12,6,4,43,2,0,14,0,0,6
8515,Ano Comum,125,3328,3,2,0,0,1,17,3,2,29,1,0,3,3,4,0,8,1,0,0,0,0,0,1,7,0,58,0,0,0,4,8,6,19,3,0,5,0,0,2
8516,Ano Comum,126,5707,3,10,0,0,6,100,9,2,41,0,0,7,2,9,0,27,1,0,1,1,0,0,9,19,0,149,0,1,0,19,24,9,100,5,1,6,0,0,11
8517,Ano Comum,127,703,3,6,0,0,0,24,0,0,9,0,0,3,3,4,0,3,0,0,0,0,1,0,2,4,0,46,0,1,1,4,7,1,15,0,0,4,0,0,6
8518,Ano Comum,128,229,3,1,0,0,2,64,2,3,26,0,0,2,0,7,0,29,1,0,0,0,0,0,1,12,0,111,0,0,0,17,6,4,49,0,0,5,0,0,1
8519,Ano Comum,129,519,3,0,0,1,1,7,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,2,0,19,0,0,0,1,0,0,3,1,0,0,0,0,1
8520,Ano Comum,130,1021,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8521,Ano Comum,134,2665,3,11,0,0,15,89,4,1,77,1,0,7,2,12,4,88,1,0,0,2,0,0,6,35,0,169,0,1,0,28,20,15,83,1,0,21,0,0,11
8522,Ano Comum,135,4313,3,0,0,0,0,9,1,1,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,1,1,4,8,0,0,2,0,0,0
8523,Ano Comum,136,698,3,0,0,0,3,21,0,2,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,38,0,0,0,3,1,1,20,0,0,2,0,0,0
8524,Ano Comum,137,3045,3,0,0,0,0,10,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,9,0,20,2,0,1,0,0,0
8525,Ano Comum,138,250,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,3,2,0,0,2,0,0,0
